,netflix_id,amazon_id,disney_id,en_title,title,orig_lang,release_year,duration,score,genre,overview,rating_score
5306,s1525,-,-,Braven,Braven,English,2018,94,62.0,"['Drama', 'Action', 'Thriller']",A logger defends his family from a group of dangerous drug runners.,Average
5314,-,s4954,-,Breach,Breach,English,2020,93,43.0,"['Science Fiction', 'Action', 'Horror']","A hardened mechanic must stay awake and maintain an interstellar ark fleeing the dying planet Earth with a few thousand lucky souls on board... the last of humanity. Unfortunately, humans are not the only passengers. A shapeshifting alien creature has taken residence, its only goal is to kill as many people as possible. The crew must think quickly to stop this menace before it destroys mankind.",Bad
5333,-,s7758,-,Breakout,Breakout,English,2013,89,46.0,"['Action', 'Thriller']",A pair of criminals try to track down the kids who witnessed them commit a murder in the woods.,Bad
5353,s497,-,-,Brick Mansions,Brick Mansions,English,2014,90,59.0,"['Action', 'Crime', 'Drama']","In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",Average
5357,-,s9605,-,Bride Wars,Bride Wars,English,2009,89,62.0,"['Comedy', 'Romance']",Two best friends become rivals when their respective weddings are accidentally booked for the same day.,Average
5371,s5114,-,-,Bright,Bright,English,2017,118,62.0,"['Fantasy', 'Action', 'Thriller']","In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",Average
5416,-,-,s765,Brother Bear,Brother Bear,English,2003,90,73.0,"['Adventure', 'Animation', 'Family']","When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",Good
5417,-,-,s766,Brother Bear 2,Brother Bear 2,English,2006,78,67.0,"['Adventure', 'Animation', 'Family']","Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.",Good
5463,s2343,-,-,Bulbbul,Bulbbul,Hindi,2020,94,68.0,"['Horror', 'Fantasy']","A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",Good
5555,s6398,-,-,Cabin Fever,Cabin Fever,English,2016,98,47.0,['Horror'],"In this grisly remake of the 2002 horror hit, five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.",Bad
5602,s6411,s2925,-,Camp Cool Kids,Camp Cool Kids,English,2017,104,56.0,['Family'],"Encouraged by his quirky grandfather, a young boy faces his fears at summer camp.",Average
5604,-,-,s772,Camp Rock,Camp Rock,English,2008,96,64.0,"['Family', 'Music', 'Comedy', 'Drama', 'TV Movie', 'Romance']","When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",Average
5605,-,-,s773,Camp Rock 2: The Final Jam,Camp Rock 2 The Final Jam,English,2010,101,63.0,"['Comedy', 'Music', 'TV Movie']","Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition – featuring newcomers Luke and Dana. In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",Average
5607,s6413,-,-,Camp X-Ray,Camp XRay,English,2014,117,68.0,['Drama'],"A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees.",Good
5636,-,s6811,-,Capone,Capone,English,2020,104,50.0,"['Crime', 'Drama']","The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",Bad
5638,-,s9232,-,Capricorn One,Capricorn One,English,1978,123,68.0,"['Drama', 'Action', 'Thriller', 'Science Fiction']","In order to protect the reputation of the American space program, a team of NASA administrators turn the first Mars mission into a phony Mars landing. Under threat of harm to their families the astronauts play their part in the deception on a staged set in a deserted military base. But once the real ship returns to Earth and burns up on re-entry, the astronauts become liabilities. Now, with the help of a crusading reporter, they must battle a sinister conspiracy that will stop at nothing to keep the truth hidden.",Good
5645,s1260,-,-,Captain Fantastic,Captain Fantastic,English,2016,119,79.0,"['Adventure', 'Drama']",A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,Good
5665,-,s7125,-,Careful What You Wish For,Careful What You Wish For,English,2016,91,61.0,"['Drama', 'Thriller']","A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal.",Average
5690,s6425,s2905,-,Carriers,Carriers,English,2009,85,61.0,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.",Average
5692,-,-,s777,Cars,Cars,English,2006,117,69.0,"['Animation', 'Adventure', 'Comedy', 'Family']","Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",Good
5693,-,-,s778,Cars 2,Cars 2,English,2011,107,61.0,"['Animation', 'Family', 'Adventure', 'Comedy']",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Average
5694,-,-,s779,Cars 3,Cars 3,English,2017,103,69.0,"['Animation', 'Adventure', 'Comedy', 'Family']","Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",Good
5718,s1448,-,-,Case 39,Case 39,English,2009,111,63.0,"['Horror', 'Mystery', 'Thriller']","In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters.",Average
5724,s6428,-,-,Casino Royale,Casino Royale,English,2006,145,75.0,"['Adventure', 'Action', 'Thriller']","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",Good
5741,s6432,-,-,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,English,1958,108,77.0,"['Drama', 'Romance']","An alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. His wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. His reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son.",Good
5766,s6434,-,-,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs The Revenge of Kitty Galore,English,2010,82,52.0,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Action', 'Animation']",The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,Bad
5775,s6436,-,-,Cave,Cave,Norwegian,2016,77,43.0,"['Adventure', 'Thriller']","A group of former military elites set out to explore an uncharted abyss, not knowing their worst nightmare is waiting for them deep beneath the ground.",Bad
5776,-,s9229,-,Caveman,Caveman,English,1981,92,66.0,"['Comedy', 'Adventure']","Disgraced and cast out of his tribe for lusting after Lana, the mate of the tribe's head muscle man, Atouk stumbles along gathering other misfits and learning a bit about the world outside of his cave. Eventually he and friends Lar and Tala learn the secrets of fire, cooked meat, and how to defend themselves from the brutal, yet very stupid dinosaurs.",Good
5841,s134,-,-,Chappie,Chappie,English,2015,121,68.0,"['Crime', 'Action', 'Science Fiction']","Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",Good
5842,-,s6098,-,Charade,Charade,English,1963,113,77.0,"['Comedy', 'Mystery', 'Romance']","After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",Good
5850,s6447,-,-,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,English,2005,115,70.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Good
5853,s6448,-,-,Charlie's Angels: Full Throttle,Charlie's Angels Full Throttle,English,2003,106,54.0,"['Action', 'Adventure', 'Comedy']","The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",Bad
5861,-,s2881,-,Chasers,Chasers,English,1994,101,53.0,"['Comedy', 'Romance']","Military men Rock Reilly and Eddie Devane are tasked with taking a prisoner, blonde bombshell Toni Johnson, on what becomes an unforgettable road trip. Toni, an enlistee who's in trouble for deserting her unit, soon proves that she's craftier than most inmates.",Bad
5866,s6451,-,-,Chasing Amy,Chasing Amy,English,1997,113,68.0,"['Comedy', 'Drama', 'Romance']","Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",Good
5885,-,-,s297,Cheaper by the Dozen 2,Cheaper by the Dozen 2,English,2005,95,61.0,"['Comedy', 'Family', 'Adventure']","Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",Average
5894,s1613,-,-,Chef,Chef,English,2014,115,71.0,['Comedy'],"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",Good
5901,-,s4470,-,Chemical Hearts,Chemical Hearts,English,2020,93,74.0,"['Drama', 'Romance']","When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",Good
5906,s6459,-,-,Chernobyl Diaries,Chernobyl Diaries,English,2012,88,52.0,"['Horror', 'Thriller']","A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",Bad
5968,s6469,-,-,Child's Play,Child's Play,English,1988,87,67.0,['Horror'],"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",Good
6003,s6474,-,-,Chitty Chitty Bang Bang,Chitty Chitty Bang Bang,English,1968,146,68.0,"['Family', 'Music', 'Adventure', 'Fantasy', 'Comedy']","A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.",Good
6064,s6481,-,-,Christmas with the Kranks,Christmas with the Kranks,English,2004,99,62.0,"['Comedy', 'Family']","When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair calls on Christmas Eve to announce a surprise visit with her new fiancée, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!",Average
6065,s6482,-,-,Christopher Robin,Christopher Robin,English,2018,104,73.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']","Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",Good
6066,-,-,s416,Not Known,Not Known,English,2018,109,73.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']","Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",Good
6085,-,-,s793,Cinderella,Cinderella,English,1950,77,70.0,"['Family', 'Fantasy', 'Animation', 'Romance']","Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",Good
6087,-,-,s794,Cinderella II: Dreams Come True,Cinderella II Dreams Come True,English,2002,77,61.0,"['Family', 'Animation', 'Romance', 'Fantasy']","As a newly crowned princess, Cinderella quickly learns that life at the Palace - and her royal responsibilities - are more challenging than she had imagined. In three heartwarming tales, Cinderella calls on her animal friends and her Fairy Godmother to help as she brings her own grace and charm to her regal role and discovers that being true to yourself is the best way to make your dreams come true.",Average
6088,-,-,s795,Cinderella III: A Twist in Time,Cinderella III A Twist in Time,English,2007,79,65.0,"['Animation', 'Romance', 'Family', 'Fantasy']","When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella to restore the timeline and reclaim her prince.",Good
6098,s6487,s8332,-,Cirque du Freak: The Vampire's Assistant,Cirque du Freak The Vampire's Assistant,English,2009,109,58.0,"['Adventure', 'Fantasy', 'Action', 'Thriller']","Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",Average
6125,s6493,-,-,Clash of the Titans,Clash of the Titans,English,2010,106,59.0,"['Adventure', 'Fantasy', 'Action']","Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",Average
6143,s135,-,-,Clear and Present Danger,Clear and Present Danger,English,1994,142,66.0,"['Action', 'Drama', 'Thriller']",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Good
6149,s6498,-,-,Click,Click,English,2006,108,63.0,"['Comedy', 'Drama', 'Fantasy']","A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",Average
6150,s136,-,-,Cliffhanger,Cliffhanger,English,1993,113,65.0,"['Action', 'Adventure', 'Thriller']","A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",Good
6155,s5638,-,-,Clinical,Clinical,English,2017,104,53.0,"['Thriller', 'Horror']","A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",Bad
6180,s6501,-,-,Closed Circuit,Closed Circuit,English,2013,96,59.0,"['Mystery', 'Drama', 'Crime', 'Thriller']","A terrorist attack in London results in the capture of suspect, and the attorney general appoints Claudia Simmons-Howe as special advocate on his defence team. On the eve of the trial, the accused's attorney dies and a new one, Martin Rose, steps in. Martin and Claudia are former lovers—a fact which must remain hidden—and, as Martin assembles his case, he uncovers a sinister conspiracy that places him and Claudia in danger.",Average
6190,-,-,s388,Clouds,Clouds,English,2020,122,83.0,"['Music', 'Drama', 'Romance']","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Good
6193,s331,-,-,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,English,2009,90,66.0,"['Animation', 'Comedy', 'Family']","Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",Good
6194,s1695,-,-,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,English,2013,95,64.0,"['Animation', 'Family', 'Comedy']","After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",Average
6195,s6504,-,-,Cloverfield,Cloverfield,English,2008,85,67.0,"['Action', 'Thriller', 'Science Fiction']","Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",Good
6206,s6511,-,-,Coach Carter,Coach Carter,English,2005,137,76.0,"['Drama', 'History']","Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",Good
6220,-,-,s700,Coco,Coco,English,2017,105,82.0,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Good
6225,s2691,-,-,Code 8,Code 8,English,2019,98,62.0,"['Science Fiction', 'Action', 'Crime', 'Thriller', 'Drama']","In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",Average
6262,s829,-,-,Collateral Beauty,Collateral Beauty,English,2016,97,72.0,"['Drama', 'Romance']","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",Good
6291,s6519,-,-,Come and Find Me,Come and Find Me,English,2016,112,56.0,"['Drama', 'Thriller', 'Mystery']","When his girlfriend goes missing, David must track down her whereabouts after he realizes she's not who she was pretending to be.",Average
6295,-,s6810,-,Coming 2 America,Coming 2 America,English,2021,109,65.0,['Comedy'],"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",Good
6306,s787,-,-,Company of Heroes,Company of Heroes,English,2013,101,53.0,"['Action', 'Drama', 'War']","American soldiers lost behind enemy lines during the WWII make a horrific discovery: Hitler has a super bomb in development. Against all odds, they set out to find the scientist in charge of the program who is looking to defect.",Bad
6308,s6524,-,-,Compulsion,Compulsion,English,2016,84,48.0,"['Thriller', 'Horror', 'Fantasy']","Sadie—a young female novelist—and an enigmatic woman named Francesca, are enticed by an ex-lover to join him at his Italian villa for a weekend celebration being held to honor the release of Sadie's latest book. Once there, Sadie begins to fear his true intentions as she and Francesca become embroiled in a dangerous game of moral and sexual discovery.",Bad
6323,-,-,s100,Confessions of a Shopaholic,Confessions of a Shopaholic,English,2009,106,64.0,"['Comedy', 'Romance']","In the glamorous world of New York City, Rebecca Bloomwood is a fun-loving girl who is really good at shopping - a little too good, perhaps. She dreams of working for her favorite fashion magazine, but can't quite get her foot in the door - until ironically, she snags a job as an advice columnist for a financial magazine published by the same company.",Average
6324,-,-,s799,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,English,2004,91,56.0,['Comedy'],"Lola is an ambitious teenager who aspires to be a famous stage actress, but ger dream of performing on Broadway suffers a setback when her family moves from New York City to suburban New Jersey. Determined to make the best of it, however, Lola embarks on a mission to become the most popular girl at her high school, a goal that sets her on a collision course with the catty Carla Santini.",Average
6330,s568,-,-,Congo,Congo,English,1995,108,55.0,"['Action', 'Adventure', 'Science Fiction']","Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",Average
6367,-,s2790,-,Cool World,Cool World,English,1992,102,56.0,"['Animation', 'Comedy', 'Fantasy']","A bizarre accident lands Frank Harris in Cool World, a realm of cartoons. Years later, cartoonist Jack Deebs, who's been drawing Cool World, crosses over as well. He sets his lustful sights on animated femme fatale Holli Would, but she's got plans of her own to become real, and it's up to Frank to stop her.",Average
6384,s6537,-,-,Coraline,Coraline,English,2009,101,78.0,"['Animation', 'Family', 'Fantasy']","A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",Good
6402,s438,-,-,Cosmic Sin,Cosmic Sin,English,2021,88,42.0,"['Action', 'Adventure', 'Science Fiction']","In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",Bad
6406,-,s3896,-,Cottage Country,Cottage Country,English,2013,91,53.0,"['Action', 'Comedy', 'Crime', 'Romance', 'Thriller', 'Horror']","When Todd takes his girlfriend Cammie up to the family cottage for a reclusive proposal, the last thing he expected to be doing was dealing with was his slacker brother and his hippie girlfriend.  But in this comedy of errors, Todd and Cammie, have to deal with his accidentally murdered brother in order to live happily ever after.",Bad
6411,s5069,-,-,Countdown to Death: Pablo Escobar,Countdown to Death Pablo Escobar,"Spanish, Castilian",2017,69,69.0,['Documentary'],"Through rare interviews, images and wiretap audio, this documentary reconstructs the last nine years of Colombian drug lord Pablo Escobar's life.",Good
6445,s788,-,-,Cradle 2 the Grave,Cradle 2 the Grave,English,2003,101,61.0,"['Action', 'Crime', 'Drama']","Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",Average
6487,-,s4848,-,Creepshow 2,Creepshow 2,English,1987,90,63.0,"['Horror', 'Comedy']","EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life to exact vengeance on the murderer of his elderly owners. In the second, four teens are stranded on a raft on a lake with a blob that is hungry. And in the third, a hit and run woman is terrorized by the hitchhiker she accidentally killed... or did she?",Average
6500,s1028,-,-,Crimson Peak,Crimson Peak,English,2015,119,66.0,"['Horror', 'Romance']","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",Good
6520,s138,-,-,Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,English,2001,95,52.0,"['Adventure', 'Comedy']","After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",Bad
6535,s5865,-,-,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon Sword of Destiny",English,2016,101,61.0,"['Action', 'Adventure', 'Drama']","A story of lost love, young love, a legendary sword and one last opportunity at redemption.",Average
6545,-,s7470,-,Cruel Intentions 3,Cruel Intentions 3,English,2004,85,46.0,['Drama'],"Meet Cassie, Jason and Patrick, three amoral college students who, through a series of sexual wagers, take malicious pleasure in ruining the lives of their fellow classmates.",Bad
6548,-,-,s121,Cruella,Cruella,English,2021,137,81.0,"['Comedy', 'Crime']","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Good
6574,s6545,-,-,Cult of Chucky,Cult of Chucky,English,2017,90,58.0,"['Horror', 'Thriller']","Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll with a familiar face, a string of new, grisly deaths leads Nica to wonder if she isn't crazy after all.",Average
6669,s6551,-,-,Daddy Day Care,Daddy Day Care,English,2003,93,59.0,"['Comedy', 'Family']","Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.",Average
6727,s2598,-,-,Dangerous Lies,Dangerous Lies,English,2020,97,64.0,['Thriller'],"After losing her waitressing job, Katie Franklin takes a job as a caretaker to a wealthy elderly man in his sprawling, empty Chicago estate. The two grow close, but when he unexpectedly passes away and names Katie as his sole heir, she and her husband Adam are pulled into a complex web of lies, deception, and murder. If she's going to survive, Katie will have to question everyone's motives — even the people she loves.",Average
6743,s6563,-,-,Dante's Peak,Dante's Peak,English,1997,108,62.0,"['Action', 'Adventure', 'Drama', 'Thriller']","Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",Average
6753,s4889,-,-,Darc,Darc,English,2018,98,62.0,"['Action', 'Thriller']","To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza.",Average
6756,-,s8144,-,Daredevil,Daredevil,English,2003,104,52.0,"['Fantasy', 'Action']",A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.,Bad
6780,s29,-,-,Dark Skies,Dark Skies,English,2013,97,63.0,"['Science Fiction', 'Thriller', 'Horror']","From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",Average
6805,-,s9602,-,Date Night,Date Night,English,2010,88,61.0,"['Comedy', 'Action', 'Adventure']","Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",Average
